"date" "usdvnd" "eurusd" "usdcny" "usdjpy" "usdkrw" "usdsgd" "usdtwd" "usdthb"
2005-04-25 15823 1.30055 8.2765 105.67 999 1.6465 31.36 39.425
2005-04-26 15827 1.29855 8.2763 106.02 998.8 1.64725 31.42 39.53
2005-04-27 15839 1.2931 8.2764 105.87 1002.9 1.6461 31.4365 39.555
2005-04-28 15842 1.28935 8.2765 106.13 1002.5 1.6464 31.4215 39.61
2005-05-02 15828 1.2864 8.2765 105.045 1001.5 1.6369 31.256 39.519
2005-05-03 15828 1.28715 8.2765 105.08 1002.5 1.63975 31.275 39.525
2005-05-04 15837 1.2946 8.2765 104.56 999.7 1.6346 31.065 39.5
2005-05-05 15840 1.29575 8.2765 104.46 999.7 1.6358 31.075 39.445
2005-05-09 15842 1.28425 8.2765 105.625 1001.5 1.6445 31.265 39.535
2005-05-10 15840 1.28795 8.2764 105.555 999.25 1.64525 31.21 39.44
2005-05-11 15841 1.2815 8.2765 105.755 1002.5 1.64475 31.165 39.475
2005-05-12 15832 1.26955 8.2764 106.775 999.25 1.6546 31.31 39.5
2005-05-16 15835 1.2643 8.2764 106.735 1007.5 1.6545 31.4095 39.885
2005-05-17 15850 1.26075 8.2765 107.53 1005.5 1.65675 31.375 39.875
2005-05-18 15835 1.26795 8.2765 106.985 1003.5 1.6496 31.255 39.825
2005-05-19 15839 1.26435 8.2764 107.64 1005.1 1.6563 31.365 39.92
2005-05-23 15840 1.2578 8.2764 107.645 1004.5 1.659 31.375 40.005
2005-05-24 15840 1.25845 8.2765 107.64 1000.9 1.6554 31.27 40.005
2005-05-25 15844 1.2601 8.2765 107.72 1001.5 1.65615 31.345 40.16
2005-05-26 15850 1.25125 8.2765 107.96 1001.5 1.6605 31.425 40.365
2005-05-30 15851 1.2476 8.2763 108.005 1002.55 1.6613 31.33 40.35
2005-05-31 15860 1.2304 8.2767 108.57 1007.5 1.66645 31.365 40.63
