"date" "neer" "usd" "cny" "eur" "jpy"
2005-11-01 98.3685772398352 15904 8.086 1.202 116.735
2005-11-02 98.3860073872649 15893 8.0851 1.20735 116.875
2005-11-03 98.6138171696255 15897 8.0841 1.1944 117.215
2005-11-07 98.9851315296103 15890 8.0745 1.1804 117.685
2005-11-08 98.9350719371325 15897.5 8.0905 1.1781 117.285
2005-11-09 98.9815752284553 15900.5 8.0895 1.1764 117.535
2005-11-10 99.1195829794675 15899 8.0847 1.1686 118.205
2005-11-14 99.0511613032861 15907.5 8.0835 1.169 118.78
2005-11-15 99.0051744403463 15907.5 8.0855 1.1719 118.92
2005-11-16 99.1237504798223 15914.5 8.0835 1.1669 119.19
2005-11-17 98.9876965939043 15907.5 8.0875 1.1749 118.835
2005-11-21 99.1077060368822 15900 8.0833 1.17265 119.055
2005-11-22 98.9932938228497 15902.5 8.0839 1.18135 118.74
2005-11-23 98.7824687514282 15907.5 8.0786 1.1823 118.725
2005-11-24 98.8215859172049 15914.5 8.0838 1.17885 118.915
2005-11-28 98.8313487296584 15907.5 8.0855 1.18505 118.82
2005-11-29 99.0053883345408 15903 8.0783 1.17785 119.67
2005-11-30 98.9652977070126 15912.5 8.081 1.17875 119.815
2005-12-01 99.2096316503377 15904 8.0798 1.1738 120.63
2005-12-05 99.106052397903 15907.5 8.0842 1.17895 120.81
2005-12-06 99.0759786084514 15908 8.0796 1.17785 120.9
2005-12-07 99.1772918097071 15907.5 8.0805 1.17255 121.04
2005-12-08 98.9122017873329 15910 8.0815 1.18195 120.34
2005-12-12 98.6548120517537 15909.5 8.0775 1.19545 119.795
2005-12-13 98.5688242504017 15910 8.078 1.19445 119.955
2005-12-14 97.9833476573983 15907.5 8.0777 1.19995 117.39
2005-12-15 97.7049666969131 15907.5 8.0767 1.19805 116.22
2005-12-19 97.6318516820992 15916 8.073 1.20085 116.15
2005-12-20 98.0176025503386 15914.5 8.076 1.18595 117.245
2005-12-21 98.1147840212629 15912.5 8.079 1.18375 117.395
2005-12-22 98.0152274882396 15905 8.0775 1.18665 116.675
2005-12-26 97.8623540714368 15907.5 8.079 1.1845 116.31
2005-12-27 98.1054870675426 15902.5 8.0775 1.18275 117.425
2005-12-28 98.2259557248072 15892.5 8.0768 1.18335 117.945
2005-12-29 98.0272554021379 15904.5 8.0735 1.18395 117.84
2006-01-02 97.9124648715213 15917.5 8.0735 1.1819 117.925
2006-01-03 97.2979846637183 15906.5 8.0735 1.20185 116.165
2006-01-04 96.9378773637216 15905 8.0722 1.2118 116.1
2006-01-05 96.671350805097 15913 8.06735 1.211 115.925
2006-01-09 96.2190744754062 15919 8.0641 1.20895 114.475
2006-01-10 96.331762463184 15907.5 8.0672 1.20635 114.335
2006-01-11 96.1778746405141 15918 8.0682 1.21285 114.155
2006-01-12 96.1190200692157 15907.5 8.069 1.2036 114.375
2006-01-16 96.3381235018067 15900.5 8.0705 1.21275 114.96
2006-01-17 96.4928963295727 15906 8.0665 1.21065 115.47
2006-01-18 96.4666948961329 15904.5 8.0745 1.2113 115.245
2006-01-19 96.3821378330162 15907 8.06955 1.20985 115.375
2006-01-23 95.8007185339973 15920 8.0647 1.23055 114.425
2006-01-24 95.8220952139401 15923 8.0614 1.22805 114.69
2006-01-25 95.9162381687581 15927 8.0648 1.2241 115.855
2006-01-26 96.0484287428667 15925 8.0652 1.22075 116.455
2006-01-30 96.4407454234334 15918 8.0616 1.209 117.6
2006-01-31 96.151589253967 15918 8.0644 1.21565 117.2
2006-02-01 96.512344920153 15917.5 8.0644 1.20655 118.03
2006-02-02 96.6519825106649 15917.5 8.0644 1.20915 118.565
2006-02-06 96.7570537605122 15927 8.0587 1.19675 119.04
2006-02-07 96.6579451836114 15925.5 8.0619 1.1981 117.945
2006-02-08 96.8947130190581 15925 8.0577 1.19615 118.515
2006-02-09 96.858737896967 15929.5 8.0595 1.19805 118.84
2006-02-13 96.7556913900394 15929.5 8.0492 1.18955 117.78
2006-02-14 96.5888767209341 15929.5 8.0502 1.1916 117.39
2006-02-15 96.730324946013 15932.5 8.0497 1.18895 117.87
2006-02-16 96.7666314551749 15932.5 8.0532 1.1906 117.595
